46 100 114 125 255 276 293 273 35.30205154418945 -120.66551971435547 64.89700317382812
281 334 320 330 900 971 1000 1019 35.30204772949219 -120.66551971435547 65.8030014038086
1023 1023 1023 1023 1023 1023 1023 1023 35.30204772949219 -120.66551208496094 66.69000244140625
1023 1023 1023 1023 1023 1022 1021 1008 35.30204772949219 -120.66551208496094 67.62300109863281
1005 991 990 967 850 838 821 815 35.30204772949219 -120.66551208496094 68.3010025024414
802 779 771 756 552 455 368 281 35.30204772949219 -120.66551208496094 68.69000244140625
200 99 37 32 0 0 0 0 35.30204772949219 -120.66551208496094 69.23899841308594
0 0 0 0 0 0 0 0 35.30204772949219 -120.66551208496094 70.00499725341797
0 0 0 4 30 47 51 70 35.30204391479492 -120.6655044555664 70.68000030517578
81 96 109 119 228 278 253 302 35.30204391479492 -120.6655044555664 71.04900360107422
290 345 353 330 753 828 936 993 35.30204391479492 -120.6655044555664 71.31600189208984
1008 1001 1023 1023 1023 1023 1023 1023 35.302040100097656 -120.6655044555664 71.78399658203125
1023 1023 1023 1023 1023 1023 1023 1023 35.302040100097656 -120.6655044555664 72.33200073242188
999 997 982 974 940 889 904 863 35.302040100097656 -120.6655044555664 72.45500183105469
844 833 851 796 663 677 656 646 35.302040100097656 -120.6655044555664 72.3489990234375
632 571 578 502 0 0 0 0 35.302040100097656 -120.6655044555664 72.34400177001953
0 0 0 0 0 0 0 0 35.302040100097656 -120.6655044555664 72.52400207519531
0 0 0 0 4 2 12 10 35.302040100097656 -120.6655044555664 72.68800354003906
16 17 33 45 156 159 176 190 35.302040100097656 -120.6655044555664 72.43499755859375
1023 1023 1023 1023 1023 1023 1023 1023 35.30204391479492 -120.66551208496094 69.91600036621094
1023 1023 1016 993 982 963 955 936 35.30204772949219 -120.66551208496094 69.71099853515625
894 910 897 846 719 705 681 660 35.30204391479492 -120.66551208496094 69.46600341796875
651 634 614 597 19 0 0 0 35.302040100097656 -120.66551208496094 69.29199981689453
0 0 0 0 0 0 0 0 35.302040100097656 -120.66551971435547 69.34100341796875
0 0 0 0 0 3 4 8 35.30203628540039 -120.66551971435547 69.32599639892578
5 18 15 31 127 140 144 160 35.30203628540039 -120.66551208496094 69.0770034790039
170 179 198 211 350 367 385 405 35.30203628540039 -120.66551208496094 68.74600219726562
443 534 613 682 1023 1023 1023 1023 35.30203628540039 -120.66551208496094 68.83100128173828
1023 1023 1023 1023 1023 1023 1023 1023 35.302032470703125 -120.66551208496094 68.99400329589844
1023 1023 1023 1023 990 1017 1012 957 35.302032470703125 -120.66551208496094 68.87100219726562
988 965 954 890 823 801 793 738 35.30203628540039 -120.66551208496094 68.54900360107422
720 698 685 705 84 37 11 0 35.30203628540039 -120.66551971435547 68.20899963378906
0 0 0 0 0 0 0 0 35.302040100097656 -120.66551971435547 67.94000244140625
0 4 8 26 28 36 34 42 35.302040100097656 -120.66551971435547 67.7699966430664
36 9 8 25 163 181 187 164 35.302040100097656 -120.66551971435547 67.45099639892578
177 222 202 251 420 407 471 553 35.302040100097656 -120.66551971435547 67.04399871826172
602 727 807 868 1023 1023 1023 1023 35.302040100097656 -120.66551971435547 66.86100006103516
1023 1023 1023 1023 1023 1023 1023 1023 35.302040100097656 -120.66551971435547 66.79100036621094
385 403 421 444 485 1023 1023 1023 35.30204772949219 -120.6655502319336 40.749000549316406 b'\n'
1023 1023 1023 1023 1023 1023 1023 1023 35.30204772949219 -120.66556549072266 41.5369987487793 b'\n'
1023 1023 1023 1023 1023 1015 1006 978 35.30205535888672 -120.66555786132812 42.481998443603516 b'\n'
989 953 935 962 943 788 806 790 35.30206298828125 -120.6655502319336 43.457000732421875 b'\n'
784 768 712 721 700 272 225 144 35.30207061767578 -120.66554260253906 44.43600082397461 b'\n'
79 26 26 0 0 0 0 0 35.30207061767578 -120.66553497314453 45.39400100708008 b'\n'
0 0 0 0 0 0 0 0 35.30207443237305 -120.66553497314453 46.183998107910156 b'\n'
1023 1023 1023 1023 1023 1023 1023 1023 35.30203628540039 -120.66552734375 90.46199798583984
1023 1023 1023 1023 1023 1023 1023 1023 35.30203628540039 -120.66552734375 91.16400146484375
986 976 957 954 934 928 908 891 35.30203628540039 -120.66551971435547 91.80699920654297
734 723 707 726 664 679 631 651 35.302032470703125 -120.66551971435547 92.29000091552734
0 0 0 0 0 0 0 0 35.30202865600586 -120.66551971435547 93.01000213623047
15 18 8 18 16 15 0 0 35.30202865600586 -120.66552734375 93.6510009765625
33 39 87 98 110 89 91 156 35.302024841308594 -120.66552734375 94.09400177001953
15 10 3 0 16 13 0 24 35.30198669433594 -120.6655044555664 95.81300354003906
37 46 93 107 76 131 139 152 35.30198669433594 -120.66551208496094 95.74199676513672
297 347 320 334 358 381 442 455 35.30198287963867 -120.66551208496094 95.54000091552734
1023 1023 1023 1023 1023 1023 1023 1023 35.30198287963867 -120.6655044555664 95.22899627685547
1023 1023 1023 1015 1023 992 1023 1002 35.301979064941406 -120.6655044555664 94.94100189208984
888 838 859 852 802 823 807 793 35.301979064941406 -120.6655044555664 94.50299835205078
333 245 164 81 39 8 0 0 35.301979064941406 -120.6655044555664 93.96399688720703
0 0 0 0 0 0 0 0 35.30197525024414 -120.6655044555664 93.4010009765625
13 17 20 20 28 31 42 59 35.30197525024414 -120.6655044555664 92.61599731445312
209 226 241 257 266 289 304 319 35.30197525024414 -120.66551208496094 91.98200225830078
999 1016 1023 1023 1023 1023 1023 1023 35.301971435546875 -120.66551208496094 91.2040023803711
1023 1023 1023 1023 1023 1023 1023 1023 35.30196762084961 -120.66551208496094 90.36000061035156
992 984 972 953 946 932 908 893 35.30196762084961 -120.66551208496094 89.48400115966797
715 696 689 670 653 633 610 579 35.30196762084961 -120.66551208496094 88.75
0 0 0 0 0 0 0 0 35.301963806152344 -120.66551208496094 87.86599731445312
17 0 14 18 15 0 16 39 35.301963806152344 -120.66551971435547 86.87699890136719
107 84 87 145 157 164 145 162 35.301963806152344 -120.66551971435547 86.02799987792969
371 348 365 429 466 556 638 705 35.30195999145508 -120.66551971435547 84.89299774169922
1023 1023 1023 1023 1023 1023 1023 1023 35.30195999145508 -120.66551971435547 83.79100036621094
821 801 794 782 766 741 727 711 35.30210494995117 -120.66551208496094 65.43299865722656
106 37 39 21 0 0 0 0 35.30210494995117 -120.66551208496094 65.73899841308594
0 0 0 3 10 14 15 28 35.30210494995117 -120.66551208496094 66.04199981689453
640 624 616 597 574 517 423 342 35.302101135253906 -120.6655044555664 68.03199768066406
0 0 0 0 0 0 0 0 35.302101135253906 -120.66549682617188 68.3030014038086
0 0 0 0 0 0 0 0 35.302101135253906 -120.66549682617188 68.56600189208984
17 15 25 25 39 44 57 75 35.30209732055664 -120.66549682617188 68.86299896240234
174 186 203 215 222 244 263 275 35.30209732055664 -120.66549682617188 69.14800262451172
8 12 18 18 0 19 0 26 35.30208969116211 -120.66548919677734 71.21700286865234
38 51 51 21 25 38 51 101 35.30208969116211 -120.66548919677734 71.38200378417969
163 220 233 200 221 240 290 298 35.30208969116211 -120.66548919677734 71.62799835205078
567 656 697 772 848 933 1008 1006 35.30208969116211 -120.66548919677734 71.83999633789062
1023 1023 1023 1023 1023 1023 1023 1023 35.30208969116211 -120.66548919677734 72.03600311279297
1023 1023 1023 1023 1023 1021 1020 996 35.30208969116211 -120.66548919677734 72.27899932861328
1019 1023 1015 1021 1023 1023 1023 1023 35.302085876464844 -120.66548919677734 73.61699676513672
1023 1023 1023 1023 1023 1023 1023 1023 35.302085876464844 -120.66548919677734 73.75700378417969
1013 977 968 996 982 939 916 903 35.30208206176758 -120.66548919677734 73.83899688720703
800 786 763 711 704 718 698 678 35.30208206176758 -120.66548156738281 73.85700225830078
59 9 27 7 0 0 0 0 35.30207824707031 -120.66548156738281 73.81999969482422
0 0 8 7 17 14 21 28 35.30207824707031 -120.66548156738281 73.73200225830078
43 4 15 47 21 62 32 44 35.30207824707031 -120.66548156738281 73.49500274658203
172 220 223 206 217 267 275 300 35.30207443237305 -120.66548156738281 73.3759994506836
633 709 785 860 931 998 1019 1012 35.30207443237305 -120.66548156738281 73.33699798583984
1005 1023 988 1016 1006 1007 992 945 35.302120208740234 -120.66542053222656 69.1259994506836
849 829 824 810 788 746 728 749 35.302120208740234 -120.66542053222656 68.78600311279297
0 0 0 0 5 9 14 23 35.302040100097656 -120.66542053222656 42.51599884033203
105 119 121 140 147 165 178 186 35.302040100097656 -120.66542053222656 42.66899871826172
328 336 351 377 398 444 529 598 35.302040100097656 -120.66542053222656 42.89500045776367
1023 1023 1023 1023 1023 1023 1023 1023 35.302040100097656 -120.6654281616211 43.104000091552734
1023 1023 1023 1023 1023 1023 1023 1023 35.302040100097656 -120.6654281616211 43.327999114990234
1006 996 990 980 971 961 944 922 35.30204391479492 -120.6654281616211 43.55099868774414
799 781 773 758 736 719 701 687 35.30204391479492 -120.6654281616211 43.736000061035156
207 123 49 26 5 0 0 0 35.30204391479492 -120.66543579101562 44.042999267578125
381 357 376 407 461 548 629 697 35.30202865600586 -120.66547393798828 51.0989990234375
1023 1023 1023 1023 1023 1023 1023 1023 35.30202865600586 -120.66548156738281 51.24599838256836
1023 1023 1023 1023 1023 1023 1023 1023 35.30202865600586 -120.66548156738281 51.33599853515625
1010 1003 996 989 980 966 950 921 35.30202865600586 -120.66548156738281 51.40700149536133
816 800 779 774 761 737 720 706 35.30202865600586 -120.66548156738281 51.441001892089844
267 185 100 38 12 0 0 0 35.302024841308594 -120.66548156738281 51.481998443603516
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 2
3 3 3 3 3 3 3 3
4 4 4 4 4 4 4 4
5 5 5 5 5 5 5 5
6 6 6 6 6 6 6 6
7 7 7 7 7 7 7 7
8 8 8 8 8 8 8 8
9 9 9 9 9 9 9 9
10 10 10 10 10 10 10 10
11 11 11 11 11 11 11 11
12 12 12 12 12 12 12 12
13 13 13 13 13 13 13 13
14 14 14 14 14 14 14 14
15 15 15 15 15 15 15 15
16 16 16 16 16 16 16 16
17 17 17 17 17 17 17 17
18 18 18 18 18 18 18 18
19 19 19 19 19 19 19 19
1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 2
3 3 3 3 3 3 3 3
4 4 4 4 4 4 4 4
5 5 5 5 5 5 5 5
6 6 6 6 6 6 6 6
7 7 7 7 7 7 7 7
8 8 8 8 8 8 8 8
9 9 9 9 9 9 9 9
10 10 10 10 10 10 10 10
11 11 11 11 11 11 11 11
12 12 12 12 12 12 12 12
13 13 13 13 13 13 13 13
14 14 14 14 14 14 14 14
15 15 15 15 15 15 15 15
16 16 16 16 16 16 16 16
17 17 17 17 17 17 17 17
18 18 18 18 18 18 18 18
19 19 19 19 19 19 19 19
1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 2
3 3 3 3 3 3 3 3
4 4 4 4 4 4 4 4
5 5 5 5 5 5 5 5
6 6 6 6 6 6 6 6
7 7 7 7 7 7 7 7
8 8 8 8 8 8 8 8
9 9 9 9 9 9 9 9
10 10 10 10 10 10 10 10
11 11 11 11 11 11 11 11
12 12 12 12 12 12 12 12
13 13 13 13 13 13 13 13
14 14 14 14 14 14 14 14
15 15 15 15 15 15 15 15
16 16 16 16 16 16 16 16
17 17 17 17 17 17 17 17
18 18 18 18 18 18 18 18
19 19 19 19 19 19 19 19
1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 2
3 3 3 3 3 3 3 3
4 4 4 4 4 4 4 4
5 5 5 5 5 5 5 5
6 6 6 6 6 6 6 6
7 7 7 7 7 7 7 7
8 8 8 8 8 8 8 8
9 9 9 9 9 9 9 9
10 10 10 10 10 10 10 10
11 11 11 11 11 11 11 11
12 12 12 12 12 12 12 12
13 13 13 13 13 13 13 13
14 14 14 14 14 14 14 14
15 15 15 15 15 15 15 15
16 16 16 16 16 16 16 16
